ac,eng,mass,distance,fuel,time
b734,CFM56-5-A1,40440,725,1580,57
b734,CFM56-5-A1,40440,1250,2680,95
b734,CFM56-5-A1,40440,1776,3770,133
b734,CFM56-5-A1,40440,2301,4870,171
b734,CFM56-5-A1,40440,2827,5930,210
b734,CFM56-5-A1,41850,1250,2730,95
b734,CFM56-5-A1,41850,1776,3840,133
b734,CFM56-5-A1,41850,2301,4960,171
b734,CFM56-5-A1,41850,2827,6020,210
b734,CFM56-5-A1,41850,3352,7070,249
b734,CFM56-5-A1,41850,3878,8120,288
b734,CFM56-5-A1,43270,1250,2780,94
b734,CFM56-5-A1,43270,1776,3920,132
b734,CFM56-5-A1,43270,2301,5040,171
b734,CFM56-5-A1,43270,2827,6120,209
b734,CFM56-5-A1,43270,3352,7180,249
b734,CFM56-5-A1,43270,3878,8240,288
b734,CFM56-5-A1,43270,4403,9320,327
b734,CFM56-5-A1,44680,725,1660,56
b734,CFM56-5-A1,44680,1250,2820,94
b734,CFM56-5-A1,44680,1776,3980,131
b734,CFM56-5-A1,44680,2301,5110,170
b734,CFM56-5-A1,44680,2827,6210,209
b734,CFM56-5-A1,44680,3352,7290,248
b734,CFM56-5-A1,44680,3878,8370,287
b734,CFM56-5-A1,44680,4403,9520,326
b734,CFM56-5-A1,44680,4929,10690,365
b734,CFM56-5-A1,46100,1250,2860,94
b734,CFM56-5-A1,46100,1776,4030,131
b734,CFM56-5-A1,46100,2301,5180,169
b734,CFM56-5-A1,46100,2827,6300,208
b734,CFM56-5-A1,46100,3352,7400,247
b734,CFM56-5-A1,46100,3878,8550,286
b734,CFM56-5-A1,46100,4403,9770,325
b734,CFM56-5-A1,46100,4929,10950,364
b734,CFM56-5-A1,47510,1250,2890,94
b734,CFM56-5-A1,47510,1776,4080,131
b734,CFM56-5-A1,47510,2301,5230,169
b734,CFM56-5-A1,47510,2827,6360,207
b734,CFM56-5-A1,47510,3352,7470,246
b734,CFM56-5-A1,47510,3878,8710,285
b734,CFM56-5-A1,47510,4403,9980,324
b734,CFM56-5-A1,47510,4929,11130,363
b734,CFM56-5-A1,48930,1250,2930,93
b734,CFM56-5-A1,48930,1776,4130,131
b734,CFM56-5-A1,48930,2301,5290,169
b734,CFM56-5-A1,48930,2827,6430,207
b734,CFM56-5-A1,48930,3352,7560,245
b734,CFM56-5-A1,48930,3878,8840,284
b734,CFM56-5-A1,48930,4403,10140,323
b734,CFM56-5-A1,48930,4929,11320,362
b734,CFM56-5-A1,50340,1776,4180,131
b734,CFM56-5-A1,50340,2301,5350,168
b734,CFM56-5-A1,50340,2827,6500,206
b734,CFM56-5-A1,50340,3352,7650,244
b734,CFM56-5-A1,50340,3878,9010,283
b734,CFM56-5-A1,50340,4403,10300,322
b734,CFM56-5-A1,50340,4929,11510,361
b734,CFM56-5-A1,51760,1250,2990,106
b734,CFM56-5-A1,51760,1776,4230,131
b734,CFM56-5-A1,51760,2301,5400,168
b734,CFM56-5-A1,51760,2827,6560,206
b734,CFM56-5-A1,51760,3352,7780,244
b734,CFM56-5-A1,51760,3878,9190,282
b734,CFM56-5-A1,51760,4403,10450,321
b734,CFM56-5-A1,51760,4929,11680,360
b734,CFM56-5-A1,53170,1776,4280,130
b734,CFM56-5-A1,53170,2301,5460,167
b734,CFM56-5-A1,53170,2827,6630,205
b734,CFM56-5-A1,53170,3352,7920,244
b734,CFM56-5-A1,53170,3878,9360,282
b734,CFM56-5-A1,53170,4403,10610,320
b734,CFM56-5-A1,53170,4929,11850,359
b734,CFM56-5-A1,54590,1776,4330,130
b734,CFM56-5-A1,54590,2301,5520,167
b734,CFM56-5-A1,54590,2827,6700,205
b734,CFM56-5-A1,54590,3352,8060,243
b734,CFM56-5-A1,54590,3878,9490,281
b734,CFM56-5-A1,54590,4403,10770,319
b734,CFM56-5-A1,54590,4929,12030,358
b734,CFM56-5-A1,56000,1776,4370,130
b734,CFM56-5-A1,56000,2301,5570,166
b734,CFM56-5-A1,56000,2827,6770,204
b734,CFM56-5-A1,56000,3352,8210,242
b734,CFM56-5-A1,56000,3878,9630,280
b734,CFM56-5-A1,56000,4403,10940,318
b734,CFM56-5-A1,56000,4929,12220,356
b734,CFM56-5-A1,57420,1776,4420,130
b734,CFM56-5-A1,57420,2301,5630,166
b734,CFM56-5-A1,57420,2827,6840,203
b734,CFM56-5-A1,57420,3352,8370,241
b734,CFM56-5-A1,57420,3878,9780,279
b734,CFM56-5-A1,57420,4403,11110,317
b734,CFM56-5-A1,57420,4929,12410,355
b734,CFM56-5-A1,58830,1776,4460,129
b734,CFM56-5-A1,58830,2301,5680,166
b734,CFM56-5-A1,58830,2827,6960,204
b734,CFM56-5-A1,58830,3352,8540,240
b734,CFM56-5-A1,58830,3878,9940,278
b734,CFM56-5-A1,58830,4403,11290,316
b734,CFM56-5-A1,58830,4929,12610,354
b734,CFM56-5-A1,60250,1776,4500,130
b734,CFM56-5-A1,60250,2301,5740,165
b734,CFM56-5-A1,60250,2827,7080,204
b734,CFM56-5-A1,60250,3352,8690,240
b734,CFM56-5-A1,60250,3878,10100,277
b734,CFM56-5-A1,60250,4403,11470,315
b734,CFM56-5-A1,60250,4929,12790,353
b734,CFM56-5-A1,61660,2301,5790,166
b734,CFM56-5-A1,61660,2827,7200,203
b734,CFM56-5-A1,61660,3352,8830,239
b734,CFM56-5-A1,61660,3878,10270,276
b734,CFM56-5-A1,61660,4403,11680,314
b734,CFM56-5-A1,61660,4929,12960,352
b734,CFM56-5-A1,63080,3352,8980,239
b734,CFM56-5-A1,63080,3878,10440,276
b734,CFM56-5-A1,63080,4403,11850,313
b734,CFM56-5-A1,63080,4929,13140,351
b734,CFM56-5-A1,64490,3878,10630,275
b734,CFM56-5-A1,64490,4403,12020,312
b734,CFM56-5-A1,64490,4929,13250,350
b734,CFM56-5-A1,65910,4403,12170,312
b734,CFM56-5-A1,65910,4929,13280,349
b734,CFM56-5-A1,67320,4929,13440,348
b734,CFM56-5-A1,40440,725,1580,57
b734,CFM56-5-A1,40440,1250,2680,95
b734,CFM56-5-A1,40440,1776,3770,133
b734,CFM56-5-A1,40440,2301,4870,171
b734,CFM56-5-A1,40440,2827,5930,210
b734,CFM56-5-A1,41850,1250,2730,95
b734,CFM56-5-A1,41850,1776,3840,133
b734,CFM56-5-A1,41850,2301,4960,171
b734,CFM56-5-A1,41850,2827,6020,210
b734,CFM56-5-A1,41850,3352,7070,249
b734,CFM56-5-A1,41850,3878,8120,288
b734,CFM56-5-A1,43270,1250,2780,94
b734,CFM56-5-A1,43270,1776,3920,132
b734,CFM56-5-A1,43270,2301,5040,171
b734,CFM56-5-A1,43270,2827,6120,209
b734,CFM56-5-A1,43270,3352,7180,249
b734,CFM56-5-A1,43270,3878,8240,288
b734,CFM56-5-A1,43270,4403,9320,327
b734,CFM56-5-A1,44680,725,1660,56
b734,CFM56-5-A1,44680,1250,2820,94
b734,CFM56-5-A1,44680,1776,3980,131
b734,CFM56-5-A1,44680,2301,5110,170
b734,CFM56-5-A1,44680,2827,6210,209
b734,CFM56-5-A1,44680,3352,7290,248
b734,CFM56-5-A1,44680,3878,8370,287
b734,CFM56-5-A1,44680,4403,9520,326
b734,CFM56-5-A1,44680,4929,10690,365
b734,CFM56-5-A1,46100,1250,2860,94
b734,CFM56-5-A1,46100,1776,4030,131
b734,CFM56-5-A1,46100,2301,5180,169
b734,CFM56-5-A1,46100,2827,6300,208
b734,CFM56-5-A1,46100,3352,7400,247
b734,CFM56-5-A1,46100,3878,8550,286
