ac,eng,mass,distance,fuel
a359,CFM56-5-A1,170880,1795,15080
a359,CFM56-5-A1,170880,3390,28150
a359,CFM56-5-A1,176480,1795,15380
a359,CFM56-5-A1,176480,3390,28690
a359,CFM56-5-A1,182070,1795,15690
a359,CFM56-5-A1,182070,3390,29240
a359,CFM56-5-A1,187670,1795,15990
a359,CFM56-5-A1,187670,3390,29800
a359,CFM56-5-A1,187670,4985,42920
a359,CFM56-5-A1,193260,1795,16310
a359,CFM56-5-A1,193260,3390,30370
a359,CFM56-5-A1,193260,4985,43730
a359,CFM56-5-A1,198860,1795,16630
a359,CFM56-5-A1,198860,3390,30940
a359,CFM56-5-A1,198860,4985,44540
a359,CFM56-5-A1,204450,1795,16950
a359,CFM56-5-A1,204450,3390,31520
a359,CFM56-5-A1,204450,4985,45360
a359,CFM56-5-A1,204450,6580,58570
a359,CFM56-5-A1,210050,1795,17290
a359,CFM56-5-A1,210050,3390,32110
a359,CFM56-5-A1,210050,4985,46190
a359,CFM56-5-A1,210050,6580,59620
a359,CFM56-5-A1,215650,1795,17650
a359,CFM56-5-A1,215650,3390,32720
a359,CFM56-5-A1,215650,4985,47030
a359,CFM56-5-A1,215650,6580,60690
a359,CFM56-5-A1,221240,3390,33420
a359,CFM56-5-A1,221240,4985,47990
a359,CFM56-5-A1,221240,6580,61900
a359,CFM56-5-A1,221240,8175,75390
a359,CFM56-5-A1,226840,3390,34260
a359,CFM56-5-A1,226840,4985,49280
a359,CFM56-5-A1,170880,1795,15080
a359,CFM56-5-A1,170880,3390,28150
a359,CFM56-5-A1,176480,1795,15380
a359,CFM56-5-A1,176480,3390,28690
a359,CFM56-5-A1,182070,1795,15690
a359,CFM56-5-A1,182070,3390,29240
a359,CFM56-5-A1,187670,1795,15990
a359,CFM56-5-A1,187670,3390,29800
a359,CFM56-5-A1,187670,4985,42920
a359,CFM56-5-A1,193260,1795,16310
a359,CFM56-5-A1,193260,3390,30370
a359,CFM56-5-A1,193260,4985,43730
a359,CFM56-5-A1,198860,1795,16630
a359,CFM56-5-A1,198860,3390,30940
a359,CFM56-5-A1,198860,4985,44540
a359,CFM56-5-A1,204450,1795,16950
a359,CFM56-5-A1,204450,3390,31520
a359,CFM56-5-A1,204450,4985,45360
a359,CFM56-5-A1,204450,6580,58570
a359,CFM56-5-A1,210050,1795,17290
a359,CFM56-5-A1,210050,3390,32110
a359,CFM56-5-A1,210050,4985,46190
a359,CFM56-5-A1,210050,6580,59620
a359,CFM56-5-A1,215650,1795,17650
a359,CFM56-5-A1,215650,3390,32720
a359,CFM56-5-A1,215650,4985,47030
a359,CFM56-5-A1,215650,6580,60690
a359,CFM56-5-A1,221240,3390,33420
a359,CFM56-5-A1,221240,4985,47990
a359,CFM56-5-A1,221240,6580,61900
a359,CFM56-5-A1,221240,8175,75390
a359,CFM56-5-A1,226840,3390,34260
a359,CFM56-5-A1,226840,4985,49280
a359,CFM56-5A3,170880,1795,15110
a359,CFM56-5A3,170880,3390,28230
a359,CFM56-5A3,176480,1795,15410
a359,CFM56-5A3,176480,3390,28770
a359,CFM56-5A3,182070,1795,15710
a359,CFM56-5A3,182070,3390,29320
a359,CFM56-5A3,187670,1795,16020
a359,CFM56-5A3,187670,3390,29870
a359,CFM56-5A3,187670,4985,43040
a359,CFM56-5A3,193260,1795,16330
a359,CFM56-5A3,193260,3390,30430
a359,CFM56-5A3,193260,4985,43840
a359,CFM56-5A3,198860,1795,16650
a359,CFM56-5A3,198860,3390,30990
a359,CFM56-5A3,198860,4985,44640
a359,CFM56-5A3,204450,1795,16990
a359,CFM56-5A3,204450,3390,31570
a359,CFM56-5A3,204450,4985,45450
a359,CFM56-5A3,204450,6580,58710
a359,CFM56-5A3,210050,1795,17350
a359,CFM56-5A3,210050,3390,32210
a359,CFM56-5A3,210050,4985,46300
a359,CFM56-5A3,210050,6580,59780
a359,CFM56-5A3,215650,1795,17750
