ac,eng,mass,distance,fuel
e195,CFM56-5A3,34300,2152,4480
e195,CFM56-5A3,34300,2431,5030
e195,CFM56-5A3,34300,2710,5590
e195,CFM56-5A3,35140,757,1640
e195,CFM56-5A3,35140,1036,2220
e195,CFM56-5A3,35140,1315,2800
e195,CFM56-5A3,35140,1594,3370
e195,CFM56-5A3,35140,1873,3940
e195,CFM56-5A3,35140,2152,4510
e195,CFM56-5A3,35140,2431,5070
e195,CFM56-5A3,35140,2710,5630
e195,CFM56-5A3,35980,757,1650
e195,CFM56-5A3,35980,1036,2240
e195,CFM56-5A3,35980,1315,2820
e195,CFM56-5A3,35980,1594,3400
e195,CFM56-5A3,35980,1873,3970
e195,CFM56-5A3,35980,2152,4540
e195,CFM56-5A3,35980,2431,5110
e195,CFM56-5A3,35980,2710,5680
e195,CFM56-5A3,36820,757,1660
e195,CFM56-5A3,36820,1036,2250
e195,CFM56-5A3,36820,1315,2840
e195,CFM56-5A3,36820,1594,3420
e195,CFM56-5A3,36820,1873,4000
e195,CFM56-5A3,36820,2152,4580
e195,CFM56-5A3,36820,2431,5150
e195,CFM56-5A3,36820,2710,5720
e195,CFM56-5A3,37660,478,1080
e195,CFM56-5A3,37660,757,1680
e195,CFM56-5A3,37660,1036,2270
e195,CFM56-5A3,37660,1315,2860
e195,CFM56-5A3,37660,1594,3450
e195,CFM56-5A3,37660,1873,4030
e195,CFM56-5A3,37660,2152,4620
e195,CFM56-5A3,37660,2431,5190
e195,CFM56-5A3,37660,2710,5770
e195,CFM56-5A3,38510,757,1690
e195,CFM56-5A3,38510,1036,2290
e195,CFM56-5A3,38510,1315,2880
e195,CFM56-5A3,38510,1594,3480
e195,CFM56-5A3,38510,1873,4070
e195,CFM56-5A3,38510,2152,4660
e195,CFM56-5A3,38510,2431,5240
e195,CFM56-5A3,38510,2710,5830
e195,CFM56-5A3,39350,1036,2310
e195,CFM56-5A3,39350,1315,2910
e195,CFM56-5A3,39350,1594,3510
