ac,eng,mass,distance,fuel
b772,CFM56-5-A1,165600,1753,15620
b772,CFM56-5-A1,172360,1753,16020
b772,CFM56-5-A1,172360,3306,29750
b772,CFM56-5-A1,179120,1753,16420
b772,CFM56-5-A1,179120,3306,30490
b772,CFM56-5-A1,185880,1753,16840
b772,CFM56-5-A1,185880,3306,31230
b772,CFM56-5-A1,185880,4859,44850
b772,CFM56-5-A1,192640,3306,31990
b772,CFM56-5-A1,192640,4859,45910
b772,CFM56-5-A1,199400,1753,17720
b772,CFM56-5-A1,199400,3306,32760
b772,CFM56-5-A1,199400,4859,46990
b772,CFM56-5-A1,199400,6412,60580
b772,CFM56-5-A1,206160,1753,18210
b772,CFM56-5-A1,206160,3306,33600
b772,CFM56-5-A1,206160,4859,48120
b772,CFM56-5-A1,206160,6412,61930
b772,CFM56-5-A1,212920,1753,18790
b772,CFM56-5-A1,212920,3306,34680
b772,CFM56-5-A1,212920,4859,49690
b772,CFM56-5-A1,219680,1753,19590
b772,CFM56-5-A1,165600,1753,15620
b772,CFM56-5-A1,172360,1753,16020
b772,CFM56-5-A1,172360,3306,29750
b772,CFM56-5-A1,179120,1753,16420
b772,CFM56-5-A1,179120,3306,30490
b772,CFM56-5-A1,185880,1753,16840
b772,CFM56-5-A1,185880,3306,31230
b772,CFM56-5-A1,185880,4859,44850
b772,CFM56-5-A1,192640,3306,31990
b772,CFM56-5-A1,192640,4859,45910
b772,CFM56-5-A1,199400,1753,17720
b772,CFM56-5-A1,199400,3306,32760
b772,CFM56-5-A1,199400,4859,46990
b772,CFM56-5-A1,199400,6412,60580
b772,CFM56-5-A1,206160,1753,18210
b772,CFM56-5-A1,206160,3306,33600
b772,CFM56-5-A1,206160,4859,48120
b772,CFM56-5-A1,206160,6412,61930
b772,CFM56-5-A1,212920,1753,18790
b772,CFM56-5-A1,212920,3306,34680
b772,CFM56-5-A1,212920,4859,49690
b772,CFM56-5-A1,219680,1753,19590
b772,CFM56-5A3,165600,1753,15640
b772,CFM56-5A3,172360,1753,16040
b772,CFM56-5A3,172360,3306,29820
b772,CFM56-5A3,179120,1753,16440
b772,CFM56-5A3,179120,3306,30550
b772,CFM56-5A3,185880,1753,16860
b772,CFM56-5A3,185880,3306,31280
b772,CFM56-5A3,185880,4859,44940
b772,CFM56-5A3,192640,1753,17300
b772,CFM56-5A3,192640,3306,32040
b772,CFM56-5A3,192640,4859,45990
b772,CFM56-5A3,199400,1753,17800
b772,CFM56-5A3,199400,3306,32900
b772,CFM56-5A3,199400,4859,47140
b772,CFM56-5A3,199400,6412,60730
b772,CFM56-5A3,206160,1753,18410
b772,CFM56-5A3,206160,3306,34060
b772,CFM56-5A3,206160,4859,49060
b772,CFM56-5A3,212920,1753,19490
b772,CFM56-5B4,165600,1753,15390
b772,CFM56-5B4,172360,1753,15810
b772,CFM56-5B4,172360,3306,29020
b772,CFM56-5B4,179120,1753,16230
b772,CFM56-5B4,179120,3306,29840
b772,CFM56-5B4,185880,1753,16660
b772,CFM56-5B4,185880,3306,30650
b772,CFM56-5B4,185880,4859,43960
b772,CFM56-5B4,192640,1753,17040
b772,CFM56-5B4,192640,3306,31440
b772,CFM56-5B4,192640,4859,45130
b772,CFM56-5B4,199400,1753,17510
b772,CFM56-5B4,199400,3306,32310
b772,CFM56-5B4,199400,4859,46290
b772,CFM56-5B4,199400,6412,59490
b772,CFM56-5B4,206160,3306,33490
b772,CFM56-5B4,206160,4859,48330
b772,CFM56-5B4,212920,1753,19200
b772,CFM56-5B5,165600,1753,15710
b772,CFM56-5B5,172360,1753,16130
b772,CFM56-5B5,172360,3306,29900
b772,CFM56-5B5,179120,1753,16570
