ac,eng,mass,distance,fuel
b737,CFM56-5-A1,45120,725,1890
b737,CFM56-5-A1,45120,1250,3190
b737,CFM56-5-A1,45120,1776,4490
b737,CFM56-5-A1,45120,2301,5770
b737,CFM56-5-A1,45120,2827,7030
b737,CFM56-5-A1,46390,725,1910
b737,CFM56-5-A1,46390,1250,3220
b737,CFM56-5-A1,46390,1776,4530
b737,CFM56-5-A1,46390,2301,5820
b737,CFM56-5-A1,46390,2827,7090
b737,CFM56-5-A1,46390,3352,8330
b737,CFM56-5-A1,47670,725,1930
b737,CFM56-5-A1,47670,1250,3260
b737,CFM56-5-A1,47670,1776,4570
b737,CFM56-5-A1,47670,2301,5880
b737,CFM56-5-A1,47670,2827,7150
b737,CFM56-5-A1,47670,3352,8410
b737,CFM56-5-A1,47670,3878,9660
b737,CFM56-5-A1,48940,725,1940
b737,CFM56-5-A1,48940,1250,3290
b737,CFM56-5-A1,48940,1776,4620
b737,CFM56-5-A1,48940,2301,5930
b737,CFM56-5-A1,48940,2827,7220
b737,CFM56-5-A1,48940,3352,8490
b737,CFM56-5-A1,48940,3878,9760
b737,CFM56-5-A1,48940,4403,11010
b737,CFM56-5-A1,50210,725,1960
b737,CFM56-5-A1,50210,1250,3320
b737,CFM56-5-A1,50210,1776,4660
b737,CFM56-5-A1,50210,2301,5990
b737,CFM56-5-A1,50210,2827,7290
b737,CFM56-5-A1,50210,3352,8570
b737,CFM56-5-A1,50210,3878,9870
b737,CFM56-5-A1,50210,4403,11120
b737,CFM56-5-A1,50210,4929,12360
b737,CFM56-5-A1,51480,725,1980
b737,CFM56-5-A1,51480,1250,3350
b737,CFM56-5-A1,51480,1776,4710
b737,CFM56-5-A1,51480,2301,6050
b737,CFM56-5-A1,51480,2827,7360
b737,CFM56-5-A1,51480,3352,8660
b737,CFM56-5-A1,51480,3878,9980
b737,CFM56-5-A1,51480,4403,11230
b737,CFM56-5-A1,51480,4929,12480
b737,CFM56-5-A1,52760,725,2000
b737,CFM56-5-A1,52760,1250,3380
b737,CFM56-5-A1,52760,1776,4760
b737,CFM56-5-A1,52760,2301,6110
b737,CFM56-5-A1,52760,2827,7440
b737,CFM56-5-A1,52760,3352,8760
b737,CFM56-5-A1,52760,3878,10080
b737,CFM56-5-A1,52760,4403,11350
b737,CFM56-5-A1,52760,4929,12610
b737,CFM56-5-A1,54030,1250,3420
b737,CFM56-5-A1,54030,1776,4810
b737,CFM56-5-A1,54030,2301,6180
b737,CFM56-5-A1,54030,2827,7520
b737,CFM56-5-A1,54030,3352,8850
b737,CFM56-5-A1,54030,3878,10190
b737,CFM56-5-A1,54030,4403,11470
b737,CFM56-5-A1,54030,4929,12740
b737,CFM56-5-A1,55300,1250,3460
b737,CFM56-5-A1,55300,1776,4860
b737,CFM56-5-A1,55300,2301,6250
b737,CFM56-5-A1,55300,2827,7610
b737,CFM56-5-A1,55300,3352,8960
b737,CFM56-5-A1,55300,3878,10300
b737,CFM56-5-A1,55300,4403,11590
b737,CFM56-5-A1,55300,4929,12880
b737,CFM56-5-A1,56570,1250,3500
b737,CFM56-5-A1,56570,1776,4920
b737,CFM56-5-A1,56570,2301,6320
b737,CFM56-5-A1,56570,2827,7700
b737,CFM56-5-A1,56570,3352,9070
b737,CFM56-5-A1,56570,3878,10420
b737,CFM56-5-A1,56570,4403,11720
b737,CFM56-5-A1,56570,4929,13030
b737,CFM56-5-A1,57850,1250,3530
b737,CFM56-5-A1,57850,1776,4970
b737,CFM56-5-A1,57850,2301,6390
b737,CFM56-5-A1,57850,2827,7790
b737,CFM56-5-A1,57850,3352,9190
b737,CFM56-5-A1,57850,3878,10540
b737,CFM56-5-A1,57850,4403,11850
b737,CFM56-5-A1,57850,4929,13180
b737,CFM56-5-A1,59120,1250,3570
b737,CFM56-5-A1,59120,1776,5030
b737,CFM56-5-A1,59120,2301,6470
b737,CFM56-5-A1,59120,2827,7890
b737,CFM56-5-A1,59120,3352,9290
b737,CFM56-5-A1,59120,3878,10660
b737,CFM56-5-A1,59120,4403,11990
b737,CFM56-5-A1,59120,4929,13390
b737,CFM56-5-A1,60390,1250,3610
b737,CFM56-5-A1,60390,1776,5080
b737,CFM56-5-A1,60390,2301,6540
b737,CFM56-5-A1,60390,2827,7990
b737,CFM56-5-A1,60390,3352,9410
b737,CFM56-5-A1,60390,3878,10780
b737,CFM56-5-A1,60390,4403,12140
b737,CFM56-5-A1,60390,4929,13590
b737,CFM56-5-A1,61660,1250,3650
b737,CFM56-5-A1,61660,1776,5140
b737,CFM56-5-A1,61660,2301,6620
b737,CFM56-5-A1,61660,2827,8100
b737,CFM56-5-A1,61660,3352,9520
b737,CFM56-5-A1,61660,3878,10910
b737,CFM56-5-A1,61660,4403,12330
b737,CFM56-5-A1,61660,4929,13810
b737,CFM56-5-A1,62940,1776,5200
b737,CFM56-5-A1,62940,2301,6700
b737,CFM56-5-A1,62940,2827,8220
b737,CFM56-5-A1,62940,3352,9630
b737,CFM56-5-A1,62940,3878,11040
b737,CFM56-5-A1,62940,4403,12540
b737,CFM56-5-A1,62940,4929,14040
b737,CFM56-5-A1,64210,2301,6790
b737,CFM56-5-A1,64210,2827,8310
b737,CFM56-5-A1,64210,3352,9740
b737,CFM56-5-A1,64210,3878,11180
b737,CFM56-5-A1,64210,4403,12750
b737,CFM56-5-A1,64210,4929,14290
b737,CFM56-5-A1,65480,2827,8400
b737,CFM56-5-A1,65480,3352,9840
b737,CFM56-5-A1,65480,3878,11360
b737,CFM56-5-A1,65480,4403,12980
b737,CFM56-5-A1,65480,4929,14540
b737,CFM56-5-A1,66750,2827,8480
b737,CFM56-5-A1,66750,3352,9940
b737,CFM56-5-A1,66750,3878,11520
b737,CFM56-5-A1,66750,4403,13210
b737,CFM56-5-A1,66750,4929,14820
b737,CFM56-5-A1,68030,3352,10030
b737,CFM56-5-A1,68030,3878,11720
b737,CFM56-5-A1,68030,4403,13420
b737,CFM56-5-A1,68030,4929,15010
b737,CFM56-5-A1,69300,3878,11890
b737,CFM56-5-A1,69300,4403,13640
b737,CFM56-5-A1,69300,4929,15190
b737,CFM56-5-A1,45120,725,1890
b737,CFM56-5-A1,45120,1250,3190
b737,CFM56-5-A1,45120,1776,4490
