ac,eng,mass,distance,fuel
b744,CFM56-5-A1,337900,8550,115720
b744,CFM56-5-A1,337900,9941,131020
b744,CFM56-5-A1,337900,11333,144500
b744,CFM56-5-A1,337900,12725,157390
b744,CFM56-5-A1,347060,7158,100690
b744,CFM56-5-A1,347060,8550,118600
b744,CFM56-5-A1,347060,9941,134510
b744,CFM56-5-A1,347060,11333,147980
b744,CFM56-5-A1,347060,12725,160810
b744,CFM56-5-A1,356210,8550,121570
b744,CFM56-5-A1,356210,9941,134710
b744,CFM56-5-A1,356210,11333,151180
b744,CFM56-5-A1,356210,12725,164250
b744,CFM56-5-A1,365370,8550,124650
b744,CFM56-5-A1,365370,9941,138020
b744,CFM56-5-A1,365370,11333,153990
b744,CFM56-5-A1,365370,12725,167570
b744,CFM56-5-A1,374520,11333,156870
b744,CFM56-5-A1,374520,12725,171260
b744,CFM56-5-A1,383680,9941,145380
b744,CFM56-5-A1,383680,11333,160140
b744,CFM56-5-A1,383680,12725,174720
b744,CFM56-5A3,218880,1591,16690
b744,CFM56-5A3,218880,2983,30860
b744,CFM56-5A3,228040,1591,17040
b744,CFM56-5A3,228040,2983,31500
b744,CFM56-5A3,228040,4375,45830
b744,CFM56-5A3,237190,1591,17410
b744,CFM56-5A3,237190,2983,32240
b744,CFM56-5A3,237190,4375,47170
b744,CFM56-5A3,246350,1591,17790
b744,CFM56-5A3,246350,2983,33210
b744,CFM56-5A3,255500,1591,18200
b744,CFM56-5A3,255500,2983,33730
b744,CFM56-5A3,255500,4375,49140
b744,CFM56-5A3,264660,1591,18630
b744,CFM56-5A3,264660,2983,34710
b744,CFM56-5A3,264660,4375,50210
b744,CFM56-5A3,264660,5766,69260
b744,CFM56-5A3,264660,7158,82900
b744,CFM56-5A3,273810,1591,19100
b744,CFM56-5A3,273810,2983,35530
b744,CFM56-5A3,273810,4375,51340
b744,CFM56-5A3,273810,5766,70180
b744,CFM56-5A3,273810,7158,86320
b744,CFM56-5A3,282970,2983,36410
b744,CFM56-5A3,282970,4375,52550
b744,CFM56-5A3,282970,5766,68060
b744,CFM56-5A3,282970,7158,88300
b744,CFM56-5A3,292120,2983,37390
b744,CFM56-5A3,292120,4375,53880
b744,CFM56-5A3,292120,5766,69680
b744,CFM56-5A3,301280,4375,55340
b744,CFM56-5A3,301280,5766,71450
b744,CFM56-5A3,301280,7158,86910
b744,CFM56-5A3,301280,9941,119610
b744,CFM56-5A3,310430,4375,56990
b744,CFM56-5A3,310430,5766,73430
b744,CFM56-5A3,310430,7158,89170
b744,CFM56-5A3,310430,8550,107930
b744,CFM56-5A3,310430,9941,122410
b744,CFM56-5A3,319590,5766,75700
b744,CFM56-5A3,319590,7158,91730
b744,CFM56-5A3,319590,8550,110530
b744,CFM56-5A3,319590,9941,125450
b744,CFM56-5A3,319590,11333,138800
b744,CFM56-5A3,328740,5766,78350
b744,CFM56-5A3,328740,7158,94680
b744,CFM56-5A3,328740,8550,113180
b744,CFM56-5A3,328740,9941,128580
b744,CFM56-5A3,328740,11333,142110
b744,CFM56-5A3,337900,7158,98210
b744,CFM56-5A3,337900,8550,115920
b744,CFM56-5A3,337900,9941,129970
b744,CFM56-5A3,337900,11333,145490
b744,CFM56-5A3,337900,12725,158540
b744,CFM56-5A3,347060,7158,100800
b744,CFM56-5A3,347060,8550,118760
b744,CFM56-5A3,347060,9941,132530
b744,CFM56-5A3,347060,11333,148570
b744,CFM56-5A3,347060,12725,161880
b744,CFM56-5A3,356210,8550,121690
b744,CFM56-5A3,356210,9941,135310
b744,CFM56-5A3,356210,11333,152050
b744,CFM56-5A3,356210,12725,165260
b744,CFM56-5A3,365370,8550,125060
b744,CFM56-5A3,365370,9941,138500
b744,CFM56-5A3,365370,11333,152560
b744,CFM56-5A3,365370,12725,168640
b744,CFM56-5B4,218880,1591,15630
b744,CFM56-5B4,218880,2983,28370
b744,CFM56-5B4,228040,1591,16030
b744,CFM56-5B4,228040,2983,29170
b744,CFM56-5B4,228040,4375,41840
b744,CFM56-5B4,237190,1591,16440
b744,CFM56-5B4,237190,2983,30020
b744,CFM56-5B4,237190,4375,43170
b744,CFM56-5B4,246350,1591,16820
b744,CFM56-5B4,246350,2983,30880
b744,CFM56-5B4,246350,4375,44560
b744,CFM56-5B4,246350,5766,58800
b744,CFM56-5B4,255500,1591,17230
b744,CFM56-5B4,255500,2983,31840
b744,CFM56-5B4,255500,4375,46010
b744,CFM56-5B4,255500,5766,61120
b744,CFM56-5B4,255500,7158,75100
b744,CFM56-5B4,264660,1591,17650
b744,CFM56-5B4,264660,2983,32800
b744,CFM56-5B4,264660,4375,47630
b744,CFM56-5B4,264660,5766,63490
b744,CFM56-5B4,264660,7158,77630
b744,CFM56-5B4,273810,1591,18090
b744,CFM56-5B4,273810,2983,33860
b744,CFM56-5B4,273810,4375,49430
b744,CFM56-5B4,273810,5766,65930
b744,CFM56-5B4,273810,7158,80420
b744,CFM56-5B4,273810,8550,90510
b744,CFM56-5B4,282970,2983,34970
b744,CFM56-5B4,282970,4375,51070
b744,CFM56-5B4,282970,5766,68390
b744,CFM56-5B4,282970,7158,83490
b744,CFM56-5B4,282970,8550,93370
b744,CFM56-5B4,292120,2983,36150
b744,CFM56-5B4,292120,4375,53000
b744,CFM56-5B4,292120,5766,71080
b744,CFM56-5B4,292120,7158,86640
b744,CFM56-5B4,292120,8550,96370
b744,CFM56-5B4,292120,9941,109580
b744,CFM56-5B4,301280,4375,55040
b744,CFM56-5B4,301280,5766,73860
b744,CFM56-5B4,301280,7158,89450
b744,CFM56-5B4,301280,8550,99540
b744,CFM56-5B4,301280,9941,113030
b744,CFM56-5B4,310430,4375,57200
b744,CFM56-5B4,310430,5766,76760
b744,CFM56-5B4,310430,7158,92260
b744,CFM56-5B4,310430,8550,102900
b744,CFM56-5B4,310430,9941,116700
