ac,eng,mass,distance,fuel,time
a19n,CFM56-5-A1,51120,661,1540,55
a19n,CFM56-5-A1,51120,1122,2570,88
a19n,CFM56-5-A1,51120,1584,3600,121
a19n,CFM56-5-A1,51120,2045,4610,154
a19n,CFM56-5-A1,51120,2506,5620,187
a19n,CFM56-5-A1,51120,2968,6610,221
a19n,CFM56-5-A1,51120,3429,7600,255
a19n,CFM56-5-A1,52360,661,1550,55
a19n,CFM56-5-A1,52360,1122,2590,88
a19n,CFM56-5-A1,52360,1584,3630,121
a19n,CFM56-5-A1,52360,2045,4660,154
a19n,CFM56-5-A1,52360,2506,5670,187
a19n,CFM56-5-A1,52360,2968,6680,221
a19n,CFM56-5-A1,52360,3429,7680,255
a19n,CFM56-5-A1,52360,3890,8670,289
a19n,CFM56-5-A1,52360,4352,9640,324
a19n,CFM56-5-A1,53610,1122,2620,88
a19n,CFM56-5-A1,53610,1584,3660,121
a19n,CFM56-5-A1,53610,2045,4700,154
a19n,CFM56-5-A1,53610,2506,5730,187
a19n,CFM56-5-A1,53610,2968,6750,221
a19n,CFM56-5-A1,53610,3429,7760,255
a19n,CFM56-5-A1,53610,3890,8760,289
a19n,CFM56-5-A1,53610,4352,9740,324
a19n,CFM56-5-A1,54850,1122,2640,87
a19n,CFM56-5-A1,54850,1584,3700,120
a19n,CFM56-5-A1,54850,2045,4750,154
a19n,CFM56-5-A1,54850,2506,5790,187
a19n,CFM56-5-A1,54850,2968,6830,220
a19n,CFM56-5-A1,54850,3429,7840,255
a19n,CFM56-5-A1,54850,3890,8850,289
a19n,CFM56-5-A1,54850,4352,9850,323
a19n,CFM56-5-A1,56090,1122,2670,87
a19n,CFM56-5-A1,56090,1584,3740,120
a19n,CFM56-5-A1,56090,2045,4800,153
a19n,CFM56-5-A1,56090,2506,5850,187
a19n,CFM56-5-A1,56090,2968,6910,220
a19n,CFM56-5-A1,56090,3429,7930,255
a19n,CFM56-5-A1,56090,3890,8950,289
a19n,CFM56-5-A1,56090,4352,9950,323
a19n,CFM56-5-A1,57340,1122,2690,87
a19n,CFM56-5-A1,57340,1584,3770,120
a19n,CFM56-5-A1,57340,2045,4850,153
a19n,CFM56-5-A1,57340,2506,5920,187
a19n,CFM56-5-A1,57340,2968,6990,220
a19n,CFM56-5-A1,57340,3429,8020,254
a19n,CFM56-5-A1,57340,3890,9040,289
a19n,CFM56-5-A1,57340,4352,10050,323
a19n,CFM56-5-A1,58580,1122,2720,87
a19n,CFM56-5-A1,58580,1584,3810,120
a19n,CFM56-5-A1,58580,2045,4900,153
a19n,CFM56-5-A1,58580,2506,5980,186
a19n,CFM56-5-A1,58580,2968,7070,220
a19n,CFM56-5-A1,58580,3429,8100,254
a19n,CFM56-5-A1,58580,3890,9140,289
a19n,CFM56-5-A1,58580,4352,10180,323
a19n,CFM56-5-A1,59820,1122,2750,86
a19n,CFM56-5-A1,59820,1584,3850,120
a19n,CFM56-5-A1,59820,2045,4960,154
a19n,CFM56-5-A1,59820,2506,6060,186
a19n,CFM56-5-A1,59820,2968,7150,220
a19n,CFM56-5-A1,59820,3429,8190,254
a19n,CFM56-5-A1,59820,3890,9240,288
a19n,CFM56-5-A1,59820,4352,10320,323
a19n,CFM56-5-A1,61070,1122,2780,86
a19n,CFM56-5-A1,61070,1584,3900,119
a19n,CFM56-5-A1,61070,2045,5010,153
a19n,CFM56-5-A1,61070,2506,6130,186
a19n,CFM56-5-A1,61070,2968,7220,220
a19n,CFM56-5-A1,61070,3429,8270,254
a19n,CFM56-5-A1,61070,3890,9330,288
a19n,CFM56-5-A1,61070,4352,10470,322
a19n,CFM56-5-A1,62310,1122,2800,86
a19n,CFM56-5-A1,62310,1584,3930,119
a19n,CFM56-5-A1,62310,2045,5060,153
a19n,CFM56-5-A1,62310,2506,6220,186
a19n,CFM56-5-A1,62310,2968,7290,219
a19n,CFM56-5-A1,62310,3429,8350,253
a19n,CFM56-5-A1,62310,3890,9440,288
a19n,CFM56-5-A1,62310,4352,10630,322
a19n,CFM56-5-A1,63550,1122,2830,86
a19n,CFM56-5-A1,63550,1584,3970,119
a19n,CFM56-5-A1,63550,2045,5110,152
a19n,CFM56-5-A1,63550,2506,6240,186
a19n,CFM56-5-A1,63550,2968,7330,219
a19n,CFM56-5-A1,63550,3429,8430,252
a19n,CFM56-5-A1,63550,3890,9570,287
a19n,CFM56-5-A1,63550,4352,10820,321
a19n,CFM56-5-A1,64800,1122,2850,97
a19n,CFM56-5-A1,64800,1584,4010,119
a19n,CFM56-5-A1,64800,2045,5170,152
a19n,CFM56-5-A1,64800,2506,6290,185
a19n,CFM56-5-A1,64800,2968,7380,218
a19n,CFM56-5-A1,64800,3429,8470,251
a19n,CFM56-5-A1,64800,3890,9690,286
a19n,CFM56-5-A1,64800,4352,10980,320
a19n,CFM56-5-A1,66040,1584,4050,119
a19n,CFM56-5-A1,66040,2045,5240,151
a19n,CFM56-5-A1,66040,2506,6340,185
a19n,CFM56-5-A1,66040,2968,7440,218
a19n,CFM56-5-A1,66040,3429,8540,251
a19n,CFM56-5-A1,66040,3890,9750,285
a19n,CFM56-5-A1,66040,4352,11040,319
a19n,CFM56-5-A1,67280,2045,5280,151
a19n,CFM56-5-A1,67280,2506,6390,184
a19n,CFM56-5-A1,67280,2968,7500,217
a19n,CFM56-5-A1,67280,3429,8610,251
a19n,CFM56-5-A1,67280,3890,9860,285
