ac,eng,mass,distance,fuel
a21n,CFM56-5A3,60000,2968,7300
a21n,CFM56-5A3,60000,3429,8360
a21n,CFM56-5A3,60000,3890,9430
a21n,CFM56-5A3,61900,1122,2860
a21n,CFM56-5A3,61900,1584,4010
a21n,CFM56-5A3,61900,2045,5150
a21n,CFM56-5A3,61900,2506,6290
a21n,CFM56-5A3,61900,2968,7410
a21n,CFM56-5A3,61900,3429,8490
a21n,CFM56-5A3,61900,3890,9590
a21n,CFM56-5A3,61900,4352,10720
a21n,CFM56-5A3,63790,1122,2900
a21n,CFM56-5A3,63790,1584,4060
a21n,CFM56-5A3,63790,2045,5220
a21n,CFM56-5A3,63790,2506,6410
a21n,CFM56-5A3,63790,2968,7510
a21n,CFM56-5A3,63790,3429,8620
a21n,CFM56-5A3,63790,3890,9740
a21n,CFM56-5A3,63790,4352,10950
a21n,CFM56-5A3,65690,1584,4110
a21n,CFM56-5A3,65690,2045,5300
a21n,CFM56-5A3,65690,2506,6470
a21n,CFM56-5A3,65690,2968,7600
a21n,CFM56-5A3,65690,3429,8740
a21n,CFM56-5A3,65690,3890,9910
a21n,CFM56-5A3,65690,4352,11200
a21n,CFM56-5A3,67590,1584,4180
a21n,CFM56-5A3,67590,2045,5390
a21n,CFM56-5A3,67590,2506,6550
a21n,CFM56-5A3,67590,2968,7690
a21n,CFM56-5A3,67590,3429,8820
a21n,CFM56-5A3,67590,3890,10060
a21n,CFM56-5A3,67590,4352,11470
a21n,CFM56-5A3,69480,1584,4250
a21n,CFM56-5A3,69480,2045,5470
a21n,CFM56-5A3,69480,2506,6620
a21n,CFM56-5A3,69480,2968,7770
a21n,CFM56-5A3,69480,3429,8920
a21n,CFM56-5A3,69480,3890,10240
a21n,CFM56-5A3,69480,4352,11610
a21n,CFM56-5A3,71380,1584,4490
a21n,CFM56-5A3,71380,2045,5530
a21n,CFM56-5A3,71380,2506,6700
a21n,CFM56-5A3,71380,2968,7860
a21n,CFM56-5A3,71380,3429,9070
a21n,CFM56-5A3,71380,3890,10430
a21n,CFM56-5A3,71380,4352,11850
a21n,CFM56-5A3,73270,1584,4380
a21n,CFM56-5A3,73270,2045,5590
a21n,CFM56-5A3,73270,2506,6770
a21n,CFM56-5A3,73270,2968,7940
a21n,CFM56-5A3,73270,3429,9210
a21n,CFM56-5A3,73270,3890,10620
a21n,CFM56-5A3,73270,4352,12100
a21n,CFM56-5A3,75170,1584,4550
a21n,CFM56-5A3,75170,2045,5650
a21n,CFM56-5A3,75170,2506,6840
a21n,CFM56-5A3,75170,2968,8020
a21n,CFM56-5A3,75170,3429,9360
a21n,CFM56-5A3,75170,3890,10820
a21n,CFM56-5A3,75170,4352,12320
a21n,CFM56-5A3,77070,1584,4460
a21n,CFM56-5A3,77070,2045,5710
a21n,CFM56-5A3,77070,2506,6910
a21n,CFM56-5A3,77070,2968,8110
a21n,CFM56-5A3,77070,3429,9520
a21n,CFM56-5A3,77070,3890,11030
a21n,CFM56-5A3,77070,4352,12510
a21n,CFM56-5A3,78960,1584,4710
a21n,CFM56-5A3,78960,2045,5770
a21n,CFM56-5A3,78960,2506,6980
a21n,CFM56-5A3,78960,2968,8230
a21n,CFM56-5A3,78960,3429,9690
a21n,CFM56-5A3,78960,3890,11240
a21n,CFM56-5A3,78960,4352,12720
a21n,CFM56-5A3,80860,2045,6090
a21n,CFM56-5A3,80860,2506,7050
a21n,CFM56-5A3,80860,2968,8350
a21n,CFM56-5A3,80860,3429,9860
a21n,CFM56-5A3,80860,3890,11470
a21n,CFM56-5A3,80860,4352,12940
a21n,CFM56-5A3,82760,2045,6220
a21n,CFM56-5A3,82760,2506,7120
a21n,CFM56-5A3,82760,2968,8490
a21n,CFM56-5A3,82760,3429,10050
a21n,CFM56-5A3,82760,3890,11660
a21n,CFM56-5A3,82760,4352,13170
a21n,CFM56-5A3,84650,2506,7630
