ac,eng,mass,distance,fuel,time
b39m,CFM56-5-A1,54000,725,1910,59
b39m,CFM56-5-A1,54000,1250,3230,97
b39m,CFM56-5-A1,54000,1776,4550,135
b39m,CFM56-5-A1,54000,2301,5850,173
b39m,CFM56-5-A1,54000,2827,7130,211
b39m,CFM56-5-A1,54000,3352,8410,249
b39m,CFM56-5-A1,55740,1250,3280,97
b39m,CFM56-5-A1,55740,1776,4620,135
b39m,CFM56-5-A1,55740,2301,5940,173
b39m,CFM56-5-A1,55740,2827,7240,211
b39m,CFM56-5-A1,55740,3352,8540,249
b39m,CFM56-5-A1,55740,3878,9810,289
b39m,CFM56-5-A1,57490,1250,3330,97
b39m,CFM56-5-A1,57490,1776,4690,134
b39m,CFM56-5-A1,57490,2301,6030,173
b39m,CFM56-5-A1,57490,2827,7360,210
b39m,CFM56-5-A1,57490,3352,8680,249
b39m,CFM56-5-A1,57490,3878,9960,288
b39m,CFM56-5-A1,57490,4403,11220,328
b39m,CFM56-5-A1,57490,4929,12540,367
b39m,CFM56-5-A1,59230,1250,3380,96
b39m,CFM56-5-A1,59230,1776,4760,134
b39m,CFM56-5-A1,59230,2301,6130,173
b39m,CFM56-5-A1,59230,2827,7500,211
b39m,CFM56-5-A1,59230,3352,8820,249
b39m,CFM56-5-A1,59230,3878,10120,288
b39m,CFM56-5-A1,59230,4403,11420,327
b39m,CFM56-5-A1,59230,4929,12800,366
b39m,CFM56-5-A1,60970,1250,3430,96
b39m,CFM56-5-A1,60970,1776,4830,135
b39m,CFM56-5-A1,60970,2301,6230,172
b39m,CFM56-5-A1,60970,2827,7640,211
b39m,CFM56-5-A1,60970,3352,8960,249
b39m,CFM56-5-A1,60970,3878,10280,288
b39m,CFM56-5-A1,60970,4403,11660,327
b39m,CFM56-5-A1,60970,4929,13080,366
b39m,CFM56-5-A1,62720,1250,3480,95
b39m,CFM56-5-A1,62720,1776,4910,134
b39m,CFM56-5-A1,62720,2301,6340,172
b39m,CFM56-5-A1,62720,2827,7760,210
b39m,CFM56-5-A1,62720,3352,9100,248
b39m,CFM56-5-A1,62720,3878,10470,288
b39m,CFM56-5-A1,62720,4403,11930,327
b39m,CFM56-5-A1,62720,4929,13390,366
b39m,CFM56-5-A1,64460,1776,4990,135
b39m,CFM56-5-A1,64460,2301,6460,172
b39m,CFM56-5-A1,64460,2827,7870,210
b39m,CFM56-5-A1,64460,3352,9230,248
b39m,CFM56-5-A1,64460,3878,10680,288
b39m,CFM56-5-A1,64460,4403,12220,326
