ac,eng,mass,distance,fuel,time
b752,CFM56-5-A1,70080,854,3070,72
b752,CFM56-5-A1,70080,1508,5310,122
b752,CFM56-5-A1,70080,2162,7520,171
b752,CFM56-5-A1,70080,2816,9660,220
b752,CFM56-5-A1,72410,1508,5410,121
b752,CFM56-5-A1,72410,2162,7650,170
b752,CFM56-5-A1,72410,2816,9840,220
b752,CFM56-5-A1,72410,3470,11990,269
b752,CFM56-5-A1,74750,854,3160,72
b752,CFM56-5-A1,74750,1508,5500,121
b752,CFM56-5-A1,74750,2162,7790,170
b752,CFM56-5-A1,74750,2816,10030,219
b752,CFM56-5-A1,74750,3470,12230,269
b752,CFM56-5-A1,74750,4124,14390,319
b752,CFM56-5-A1,77080,854,3210,74
b752,CFM56-5-A1,77080,1508,5650,127
b752,CFM56-5-A1,77080,2162,7930,170
b752,CFM56-5-A1,77080,2816,10220,220
b752,CFM56-5-A1,77080,3470,12490,269
b752,CFM56-5-A1,77080,4124,14660,319
b752,CFM56-5-A1,77080,4778,16920,369
b752,CFM56-5-A1,79420,2162,8080,172
b752,CFM56-5-A1,79420,2816,10410,220
b752,CFM56-5-A1,79420,3470,12730,268
b752,CFM56-5-A1,79420,4124,14990,320
b752,CFM56-5-A1,79420,4778,17350,369
b752,CFM56-5-A1,79420,5432,19400,422
b752,CFM56-5-A1,81750,2162,8220,172
b752,CFM56-5-A1,81750,2816,10610,219
b752,CFM56-5-A1,81750,3470,12950,268
b752,CFM56-5-A1,81750,4124,15320,319
b752,CFM56-5-A1,81750,4778,17770,369
b752,CFM56-5-A1,81750,5432,19830,421
b752,CFM56-5-A1,81750,6087,22160,472
b752,CFM56-5-A1,84090,1508,5960,133
b752,CFM56-5-A1,84090,2162,8350,171
b752,CFM56-5-A1,84090,2816,10820,218
b752,CFM56-5-A1,84090,3470,13170,268
b752,CFM56-5-A1,84090,4124,15690,318
b752,CFM56-5-A1,84090,4778,18200,368
b752,CFM56-5-A1,84090,5432,20250,421
b752,CFM56-5-A1,86420,1508,6050,133
b752,CFM56-5-A1,86420,2162,8480,171
b752,CFM56-5-A1,86420,2816,11010,218
b752,CFM56-5-A1,86420,3470,13440,267
b752,CFM56-5-A1,86420,4124,16050,317
b752,CFM56-5-A1,86420,4778,18670,367
b752,CFM56-5-A1,86420,5432,20690,419
b752,CFM56-5-A1,86420,6087,23160,470
b752,CFM56-5-A1,88760,1508,6150,132
b752,CFM56-5-A1,88760,2162,8730,178
b752,CFM56-5-A1,88760,2816,11170,217
b752,CFM56-5-A1,88760,3470,13680,266
b752,CFM56-5-A1,88760,4124,16530,320
b752,CFM56-5-A1,88760,4778,19140,366
b752,CFM56-5-A1,88760,5432,21160,418
b752,CFM56-5-A1,91090,1508,6290,150
b752,CFM56-5-A1,91090,2162,8880,177
b752,CFM56-5-A1,91090,2816,11340,217
b752,CFM56-5-A1,91090,3470,14030,267
b752,CFM56-5-A1,91090,4124,16780,318
b752,CFM56-5-A1,91090,4778,19640,367
b752,CFM56-5-A1,91090,6087,24210,468
b752,CFM56-5-A1,93430,1508,6400,149
b752,CFM56-5-A1,93430,2162,9040,178
b752,CFM56-5-A1,93430,2816,11560,217
b752,CFM56-5-A1,93430,3470,14350,265
b752,CFM56-5-A1,93430,4124,17240,317
b752,CFM56-5-A1,93430,4778,20020,368
b752,CFM56-5-A1,93430,5432,22110,416
b752,CFM56-5-A1,93430,6087,24800,466
b752,CFM56-5-A1,95760,1508,6530,148
b752,CFM56-5-A1,95760,2162,9240,187
b752,CFM56-5-A1,95760,2816,11980,222
b752,CFM56-5-A1,95760,3470,14720,267
b752,CFM56-5-A1,95760,4124,17700,317
b752,CFM56-5-A1,95760,4778,20410,367
b752,CFM56-5-A1,95760,5432,22560,414
b752,CFM56-5-A1,95760,6087,25410,465
b752,CFM56-5-A1,98100,1508,6670,146
b752,CFM56-5-A1,98100,2162,9410,188
b752,CFM56-5-A1,98100,2816,12110,226
b752,CFM56-5-A1,98100,3470,15230,270
b752,CFM56-5-A1,98100,4124,18080,316
b752,CFM56-5-A1,98100,4778,20790,366
b752,CFM56-5-A1,98100,5432,23050,413
b752,CFM56-5-A1,98100,6087,25930,463
b752,CFM56-5-A1,100430,2162,9640,187
b752,CFM56-5-A1,100430,2816,12390,232
b752,CFM56-5-A1,100430,3470,15330,271
b752,CFM56-5-A1,100430,4124,18420,315
b752,CFM56-5-A1,100430,4778,21420,366
b752,CFM56-5-A1,100430,5432,23570,412
b752,CFM56-5-A1,100430,6087,26480,462
b752,CFM56-5-A1,102770,2816,12640,230
b752,CFM56-5-A1,102770,3470,15390,274
b752,CFM56-5-A1,102770,4124,18770,314
b752,CFM56-5-A1,102770,4778,21770,366
b752,CFM56-5-A1,102770,5432,24150,412
b752,CFM56-5-A1,102770,6087,26950,462
b752,CFM56-5-A1,105100,3470,15770,276
b752,CFM56-5-A1,105100,4124,18780,319
b752,CFM56-5-A1,105100,4778,22310,365
b752,CFM56-5-A1,105100,6087,27450,461
b752,CFM56-5-A1,107440,4124,18910,321
b752,CFM56-5-A1,107440,4778,22010,366
b752,CFM56-5-A1,107440,6087,28210,461
b752,CFM56-5-A1,109770,4124,19290,320
b752,CFM56-5-A1,109770,4778,22050,371
b752,CFM56-5-A1,109770,5432,25000,415
b752,CFM56-5-A1,109770,6087,28730,460
b752,CFM56-5-A1,112110,5432,25420,414
