ac,eng,mass,distance,fuel,time
b788,CFM56-5-A1,142800,2737,15730,249
b788,CFM56-5-A1,142800,4006,22780,347
b788,CFM56-5-A1,147160,2737,15960,263
b788,CFM56-5-A1,147160,4006,23270,349
b788,CFM56-5-A1,151530,2737,16340,299
b788,CFM56-5-A1,151530,4006,23430,363
b788,CFM56-5-A1,151530,5275,30610,453
b788,CFM56-5-A1,155890,2737,16590,295
b788,CFM56-5-A1,155890,4006,24080,428
b788,CFM56-5-A1,155890,5275,31300,454
b788,CFM56-5-A1,160260,2737,16850,292
b788,CFM56-5-A1,160260,4006,24450,424
b788,CFM56-5-A1,160260,5275,32610,465
b788,CFM56-5-A1,164620,2737,17110,289
b788,CFM56-5-A1,164620,4006,24830,419
b788,CFM56-5-A1,164620,5275,32320,553
b788,CFM56-5-A1,168990,2737,17380,286
b788,CFM56-5-A1,168990,4006,25210,415
b788,CFM56-5-A1,168990,5275,32810,548
b788,CFM56-5-A1,168990,7812,47320,673
b788,CFM56-5-A1,173350,2737,17650,284
b788,CFM56-5-A1,173350,4006,25600,411
b788,CFM56-5-A1,173350,6543,41530,562
b788,CFM56-5-A1,173350,7812,48200,673
b788,CFM56-5-A1,177710,2737,17930,281
b788,CFM56-5-A1,177710,4006,26000,407
b788,CFM56-5-A1,177710,5275,33830,537
b788,CFM56-5-A1,177710,6543,41430,671
b788,CFM56-5-A1,182080,2737,18220,278
b788,CFM56-5-A1,182080,4006,26410,403
b788,CFM56-5-A1,182080,5275,34350,532
b788,CFM56-5-A1,182080,6543,42070,665
b788,CFM56-5-A1,182080,9081,57370,789
b788,CFM56-5-A1,186440,2737,18520,276
b788,CFM56-5-A1,186440,4006,26840,399
b788,CFM56-5-A1,186440,5275,34900,527
b788,CFM56-5-A1,186440,6543,42730,658
b788,CFM56-5-A1,186440,7812,50650,738
b788,CFM56-5-A1,186440,10350,67560,918
b788,CFM56-5-A1,190810,4006,27280,395
b788,CFM56-5-A1,190810,7812,51870,788
b788,CFM56-5-A1,190810,9081,59800,793
b788,CFM56-5-A1,190810,10350,67260,883
b788,CFM56-5-A1,190810,11619,74560,990
b788,CFM56-5-A1,195170,4006,27740,392
b788,CFM56-5-A1,195170,5275,36050,518
b788,CFM56-5-A1,195170,7812,52830,781
b788,CFM56-5-A1,195170,9081,60930,778
b788,CFM56-5-A1,195170,10350,68920,883
b788,CFM56-5-A1,195170,11619,76530,989
b788,CFM56-5-A1,199530,5275,36660,513
b788,CFM56-5-A1,199530,6543,44590,581
b788,CFM56-5-A1,199530,7812,53870,774
b788,CFM56-5-A1,199530,9081,62120,780
b788,CFM56-5-A1,199530,10350,70810,882
b788,CFM56-5-A1,199530,11619,78070,989
b788,CFM56-5-A1,203900,5275,37300,509
b788,CFM56-5-A1,203900,6543,45620,635
b788,CFM56-5-A1,203900,7812,55000,768
b788,CFM56-5-A1,203900,11619,79510,988
b788,CFM56-5-A1,208260,5275,37990,504
b788,CFM56-5-A1,208260,6543,46440,630
b788,CFM56-5-A1,208260,7812,55800,719
b788,CFM56-5-A1,208260,9081,65830,797
b788,CFM56-5-A1,208260,10350,73870,881
b788,CFM56-5-A1,208260,11619,80960,988
b788,CFM56-5-A1,212630,6543,47310,625
b788,CFM56-5-A1,212630,7812,57610,755
b788,CFM56-5-A1,212630,10350,75250,880
b788,CFM56-5-A1,212630,11619,82430,987
b788,CFM56-5-A1,216990,6543,48250,620
b788,CFM56-5-A1,216990,7812,59170,749
b788,CFM56-5-A1,216990,9081,67560,868
b788,CFM56-5-A1,216990,10350,76450,880
b788,CFM56-5-A1,216990,11619,83930,986
b788,CFM56-5-A1,221360,7812,60970,743
b788,CFM56-5-A1,221360,9081,68770,861
b788,CFM56-5-A1,221360,10350,77430,880
b788,CFM56-5-A1,221360,11619,84900,987
b788,CFM56-5-A1,225720,7812,60770,754
b788,CFM56-5-A1,225720,9081,70000,854
b788,CFM56-5-A1,225720,10350,78930,886
b788,CFM56-5-A1,225720,11619,86870,1052
b788,CFM56-5-A1,142800,2737,15730,249
b788,CFM56-5-A1,142800,4006,22780,347
b788,CFM56-5-A1,147160,2737,15960,263
b788,CFM56-5-A1,147160,4006,23270,349
b788,CFM56-5-A1,151530,2737,16340,299
b788,CFM56-5-A1,151530,4006,23430,363
b788,CFM56-5-A1,151530,5275,30610,453
b788,CFM56-5-A1,155890,2737,16590,295
b788,CFM56-5-A1,155890,4006,24080,428
b788,CFM56-5-A1,155890,5275,31300,454
b788,CFM56-5-A1,160260,2737,16850,292
b788,CFM56-5-A1,160260,4006,24450,424
b788,CFM56-5-A1,160260,5275,32610,465
b788,CFM56-5-A1,164620,2737,17110,289
b788,CFM56-5-A1,164620,4006,24830,419
b788,CFM56-5-A1,164620,5275,32320,553
b788,CFM56-5-A1,168990,2737,17380,286
b788,CFM56-5-A1,168990,4006,25210,415
b788,CFM56-5-A1,168990,5275,32810,548
b788,CFM56-5-A1,168990,7812,47320,673
b788,CFM56-5-A1,173350,2737,17650,284
b788,CFM56-5-A1,173350,4006,25600,411
b788,CFM56-5-A1,173350,6543,41530,562
b788,CFM56-5-A1,173350,7812,48200,673
b788,CFM56-5-A1,177710,2737,17930,281
b788,CFM56-5-A1,177710,4006,26000,407
b788,CFM56-5-A1,177710,5275,33830,537
b788,CFM56-5-A1,177710,6543,41430,671
b788,CFM56-5-A1,182080,2737,18220,278
b788,CFM56-5-A1,182080,4006,26410,403
b788,CFM56-5-A1,182080,5275,34350,532
b788,CFM56-5-A1,182080,6543,42070,665
b788,CFM56-5-A1,182080,9081,57370,789
b788,CFM56-5-A1,186440,2737,18520,276
b788,CFM56-5-A1,186440,4006,26840,399
b788,CFM56-5-A1,186440,5275,34900,527
b788,CFM56-5-A1,186440,6543,42730,658
b788,CFM56-5-A1,186440,7812,50650,738
b788,CFM56-5-A1,186440,10350,67560,918
b788,CFM56-5-A1,190810,4006,27280,395
b788,CFM56-5-A1,190810,7812,51870,788
b788,CFM56-5-A1,190810,9081,59800,793
b788,CFM56-5-A1,190810,10350,67260,883
b788,CFM56-5-A1,190810,11619,74560,990
b788,CFM56-5-A1,195170,4006,27740,392
b788,CFM56-5-A1,195170,5275,36050,518
b788,CFM56-5-A1,195170,7812,52830,781
b788,CFM56-5-A1,195170,9081,60930,778
b788,CFM56-5-A1,195170,10350,68920,883
b788,CFM56-5-A1,195170,11619,76530,989
b788,CFM56-5-A1,199530,5275,36660,513
b788,CFM56-5-A1,199530,6543,44590,581
b788,CFM56-5-A1,199530,7812,53870,774
b788,CFM56-5-A1,199530,9081,62120,780
b788,CFM56-5-A1,199530,10350,70810,882
b788,CFM56-5-A1,199530,11619,78070,989
b788,CFM56-5-A1,203900,5275,37300,509
b788,CFM56-5-A1,203900,6543,45620,635
b788,CFM56-5-A1,203900,7812,55000,768
b788,CFM56-5-A1,203900,11619,79510,988
b788,CFM56-5-A1,208260,5275,37990,504
b788,CFM56-5-A1,208260,6543,46440,630
b788,CFM56-5-A1,208260,7812,55800,719
b788,CFM56-5-A1,208260,9081,65830,797
b788,CFM56-5-A1,208260,10350,73870,881
b788,CFM56-5-A1,208260,11619,80960,988
b788,CFM56-5-A1,212630,6543,47310,625
b788,CFM56-5-A1,212630,7812,57610,755
b788,CFM56-5-A1,212630,10350,75250,880
b788,CFM56-5-A1,212630,11619,82430,987
b788,CFM56-5-A1,216990,6543,48250,620
b788,CFM56-5-A1,216990,7812,59170,749
b788,CFM56-5-A1,216990,9081,67560,868
b788,CFM56-5-A1,216990,10350,76450,880
b788,CFM56-5-A1,216990,11619,83930,986
b788,CFM56-5-A1,221360,7812,60970,743
b788,CFM56-5-A1,221360,9081,68770,861
b788,CFM56-5-A1,221360,10350,77430,880
b788,CFM56-5-A1,221360,11619,84900,987
b788,CFM56-5-A1,225720,7812,60770,754
b788,CFM56-5-A1,225720,9081,70000,854
b788,CFM56-5-A1,225720,10350,78930,886
b788,CFM56-5-A1,225720,11619,86870,1052
b788,CFM56-5A3,142800,2737,15940,304
b788,CFM56-5A3,142800,4006,23160,359
b788,CFM56-5A3,147160,2737,16180,301
b788,CFM56-5A3,147160,4006,23620,359
b788,CFM56-5A3,151530,2737,16420,298
b788,CFM56-5A3,151530,4006,23860,432
b788,CFM56-5A3,155890,2737,16670,295
b788,CFM56-5A3,155890,4006,24210,427
